Camera,Date,FSC,Tree Snow,Image,x_coord,y_coord,Certainty,Altitude,MOD10A1,MYD10A1,SCFG
sodankyla_full,14/10/2018,0,0,,26.634154,67.361833,1,185,30,57,205
sodankyla_full,25/10/2018,0,0,,26.634154,67.361833,0,185,32,25,205
sodankyla_full,14/12/2018,1,1,,26.634154,67.361833,1,185,211,211,206
sodankyla_full,26/12/2018,1,1,,26.634154,67.361833,1,185,211,211,206
sodankyla_full,12/01/2019,1,0,190112_133002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,206
sodankyla_full,24/01/2019,1,1,190124_124501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,211,211,206
sodankyla_full,28/01/2019,1,1,,26.634154,67.361833,1,185,211,211,206
sodankyla_full,14/02/2019,1,1,,26.634154,67.361833,1,185,73,79,205
sodankyla_full,22/02/2019,1,0,,26.634154,67.361833,1,185,54,60,205
sodankyla_full,26/02/2019,1,0,,26.634154,67.361833,1,185,68,68,205
sodankyla_full,11/03/2019,1,0,,26.634154,67.361833,1,185,57,55,100
sodankyla_full,15/03/2019,1,0,190315_121502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,50,66,205
sodankyla_full,27/03/2019,1,0,190327_123004_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,53,58,205
sodankyla_full,13/04/2019,1,0,190413_143002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,59,60,205
sodankyla_full,17/04/2019,1,0,,26.634154,67.361833,1,185,67,69,205
sodankyla_full,25/04/2019,1,0,190425_073002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,68,61,100
sodankyla_full,29/04/2019,0.9,0,,26.634154,67.361833,0,185,53,62,77
sodankyla_full,16/05/2019,0.2,0,,26.634154,67.361833,0,185,25,0,205
sodankyla_full,24/05/2019,0,0,,26.634154,67.361833,1,185,0,0,0
sodankyla_full,28/05/2019,0,0,,26.634154,67.361833,1,185,0,0,0
sodankyla_full,14/06/2019,0,0,190614_120002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,0
sodankyla_full,26/06/2019,0,0,190626_134502_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,205
sodankyla_full,13/07/2019,0,0,190713_130004_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,205
sodankyla_full,24/07/2019,0,0,190724_123002_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,1,185,0,0,0
sodankyla_full,28/07/2019,0,0,,26.634154,67.361833,1,185,0,0,0
sodankyla_full,11/08/2019,0,0,,26.634154,67.361833,1,185,0,0,0
sodankyla_full,15/08/2019,0,0,,26.634154,67.361833,1,185,0,0,205
sodankyla_full,22/08/2019,0,0,,26.634154,67.361833,1,185,0,61,74
sodankyla_full,09/09/2019,0,0,,26.634154,67.361833,1,185,0,0,0
sodankyla_full,13/09/2019,0,0,,26.634154,67.361833,1,185,0,0,205
sodankyla_full,20/09/2019,0,0,,26.634154,67.361833,1,185,25,0,0
sodankyla_full,08/10/2019,0,0,,26.634154,67.361833,1,185,250,250,205
sodankyla_full,12/10/2019,0.5,0,191012_170001_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,0,185,0,250,205
sodankyla_full,19/10/2019,1,1,,26.634154,67.361833,1,185,0,250,205
sodankyla_full,23/10/2019,0.9,0,191023_151501_Ccam1.jpg (2048×1536) (fmi.fi),26.634154,67.361833,0,185,71,69,205
sodankyla_full,27/10/2019,1,1,,26.634154,67.361833,1,185,71,69,205
